title,alcohol_reference,cartoon_violence,fantasy_violence,intense_violence,mild_fantasy_violence,mild_cartoon_violence,mild_violence,drug_reference,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating
" DARK SOULSâ„¢: REMASTERED",0,0,0,0,0,0,0,0,0,0,0,M
-Klaus-,1,0,0,1,0,1,0,0,1,0,0,ET
>Observer_,0,0,0,1,0,0,0,0,0,0,0,M
"1001 Spikes",0,0,0,1,0,0,0,0,0,0,0,T
"13 Sentinels: Aegis Rim",0,0,1,0,0,0,0,0,0,0,0,T
"18 Floors",0,0,0,0,0,0,0,0,0,0,0,ET
"1971 Project Helios",0,0,0,0,0,0,0,0,0,0,0,T
"1979 Revolution: Black Friday",0,0,0,1,0,0,0,0,0,0,0,M
"2064: Read Only Memories",0,0,0,0,0,0,0,0,0,0,0,M
20XX,0,0,1,0,0,0,0,0,0,0,0,ET
"2MD VR Football",0,0,0,0,0,0,0,0,0,0,0,E
"36 Fragments of Midnight",0,0,0,0,0,0,0,0,0,0,0,E
"3D Billiards",0,0,0,0,0,0,0,0,0,0,0,E
"3D MiniGolf",0,0,0,0,0,0,0,0,0,0,0,E
"428: Shibuya Scramble",0,0,1,0,0,0,0,0,0,0,0,T
"7 Days to Die",0,0,0,0,0,0,0,0,0,0,0,M
"8 To Glory",0,0,0,0,0,0,0,0,0,0,0,E
"8 To Glory - The Official Game of the PBR",0,0,0,0,0,0,0,0,0,0,0,E
"8-bit Adventure Anthology: Volume I",1,0,0,0,0,1,0,0,0,0,0,ET
"8-Bit Hordes",0,0,1,0,0,0,0,0,0,0,0,ET
"8-Bit Invaders!",0,0,1,0,0,0,0,0,0,0,0,ET
"911 Operator",0,0,0,0,0,0,0,1,0,0,0,T
"A Hat in Time",0,0,0,1,0,0,0,0,0,0,0,T
"A Hole New World",0,0,0,1,0,0,0,0,0,0,0,T
"A Plague Tale : Innocence",0,0,0,0,0,0,0,0,0,0,0,M
"A Way Out",0,0,0,0,0,0,0,0,0,0,0,M
"A-Train Express",1,0,0,0,0,0,0,0,0,0,0,E
Aaero,0,0,1,0,0,0,0,0,0,0,0,ET
"Abo Khashem",0,0,0,0,0,0,0,0,0,0,0,T
"Absolute Drift: Zen Edition",1,0,0,0,0,0,0,0,0,0,0,E
Absolver,0,0,0,0,0,0,0,0,0,0,1,T
"Abyss: The Wraiths of Eden",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO AGGRESSORS OF DARK KOMBAT",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO BASEBALL STARS 2",0,0,0,0,0,0,1,0,0,0,0,E
"ACA NEOGEO BASEBALL STARS PROFESSIONAL",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO BLAZING STAR",0,0,0,0,1,0,0,0,0,0,0,ET
"ACA NEOGEO BLUES JOURNEY",0,0,0,0,1,0,0,0,0,0,0,E
"ACA NEOGEO BURNING FIGHT",0,0,1,0,0,0,0,0,0,0,0,T
"ACA NEOGEO CROSSED SWORDS",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO FATAL FURY 3",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO FOOTBALL FRENZY",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO GAROU: MARK OF THE WOLVES",0,0,1,0,0,0,0,0,0,0,0,T
"ACA NEOGEO GHOST PILOTS",1,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO Gururin",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO KARNOVS REVENGE",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO MAGICAL DROP III",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO METAL SLUG 3",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO METAL SLUG 4",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO METAL SLUG X",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO Money Puzzle Exchanger",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO NINJA COMBAT",0,0,1,0,0,0,0,0,0,0,0,ET
"ACA NEOGEO NINJA COMMANDO",0,0,1,0,0,0,0,0,0,0,0,ET
"ACA NEOGEO POWER SPIKES II",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO PREHISTORIC ISLE 2",0,0,0,1,0,0,0,0,0,0,0,T
"ACA NEOGEO REAL BOUT FATAL FURY 2",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO RIDING HERO",1,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO ROBO ARMY",0,0,1,0,0,0,0,0,0,0,0,ET
"ACA NEOGEO SAMURAI SHODOWN II",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SAMURAI SHODOWN III",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SAMURAI SHODOWN IV",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SAMURAI SHODOWN V",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SENGOKU 3",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SHOCK TROOPERS",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SHOCK TROOPERS 2nd Squad",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO SOCCER BRAWL",0,0,0,0,1,0,0,0,0,0,0,E
"ACA NEOGEO SPIN MASTER",0,0,1,0,0,0,0,0,0,0,0,ET
"ACA NEOGEO STAKES WINNER",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO STREET HOOP",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO SUPER SIDEKICKS 2",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO THE KING OF FIGHTERS 2000",0,0,0,0,0,0,0,0,0,0,1,T
"ACA NEOGEO THE KING OF FIGHTERS 2001",0,0,0,0,0,0,0,0,0,0,1,T
"ACA NEOGEO THE KING OF FIGHTERS 98",0,0,0,0,0,0,0,0,1,0,0,T
"ACA NEOGEO THE KING OF FIGHTERS 99",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO THE LAST BLADE 2",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO TOP PLAYERS GOLF",0,0,0,0,0,0,0,0,0,0,0,E
"ACA NEOGEO WAKU WAKU 7",0,0,0,0,0,0,0,0,0,0,0,T
"ACA NEOGEO WORLD HEROES 2 JET",0,0,0,0,0,0,0,0,0,1,0,T
Accounting+,0,0,0,0,0,0,0,1,0,0,0,M
"ACE COMBATâ„¢ 7: SKIES UNKNOWN",0,0,0,0,0,0,0,0,0,0,0,T
"Ace of Seafood",0,0,0,0,0,0,0,0,0,0,0,T
"ACE OF SEAFOOD",0,0,0,0,0,0,0,0,0,0,0,T
"Aces of the Luftwaffe - Squadron",0,0,1,0,0,0,0,0,0,0,0,ET
"Achtung! Cthulhu Tactics",1,0,0,0,0,0,0,0,0,0,0,T
"ADK DAMASHII",0,0,0,0,0,0,0,0,0,0,0,T
"Adventure Time Pirates of Enchiridion",0,1,0,0,0,0,0,0,0,0,0,ET
"Aegis Defenders",0,0,1,0,0,0,0,0,0,0,0,ET
"AER - Memories of Old",0,0,1,0,0,0,0,0,0,0,0,ET
"AeternoBlade II",0,0,0,0,0,0,0,0,0,0,1,T
Afterparty,0,0,1,0,0,1,0,0,0,0,0,M
"Age of Wonders: Planetfall",0,0,0,1,0,0,0,0,0,0,0,T
Aggelos,0,0,0,0,1,0,0,0,0,0,0,E
Agony,0,0,0,1,0,0,0,0,0,0,1,M
"AI: The Somnium Files",0,0,0,1,0,0,0,0,0,0,1,M
"Air Missions: HIND",0,0,0,0,0,0,0,0,0,0,0,T
"Air Missions: Hind",0,0,0,0,0,0,0,0,0,0,0,T
"Airheart - Tales of broken Wings",0,0,1,0,0,0,0,0,0,0,0,ET
"Airport Simulator 2019",0,0,0,0,0,0,0,0,0,0,0,E
"Albert & Otto",0,0,1,0,0,0,0,0,0,0,0,ET
"Alchemists Castle",0,0,1,0,0,0,0,0,0,0,0,ET
"All-Star Fruit Racing",0,0,0,0,0,1,0,0,0,0,0,E
"Alone With You",0,0,0,0,0,0,0,1,0,0,0,ET
"Along Together",0,0,0,0,1,0,0,0,0,0,0,E
Alteric,0,0,0,0,1,0,0,0,0,0,0,E
"Alvastia Chronicles",1,0,0,1,0,0,0,0,1,0,0,ET
"Always Sometimes Monsters",0,0,0,0,0,0,0,0,0,0,0,M
"American Ninja Warrior: Challenge ",0,0,0,0,0,0,0,0,0,0,0,E
"Americas Greatest Game Shows: Wheel of Fortune & Jeopardy! ",0,0,0,0,0,0,0,0,0,0,0,E
"Amoeba Battle",0,0,0,0,1,0,0,0,0,0,0,E
"Among the Sleep - Enhanced Edition",0,0,0,0,0,0,1,0,0,0,0,T
Anamorphine,0,0,0,0,0,0,0,0,0,0,0,T
"Ancestors Legacy",0,0,0,1,0,0,0,0,0,0,0,M
"Ancestors: The Humankind Odyssey",0,0,0,0,0,0,0,0,0,0,0,T
"Anima: Gate of Memories -The Nameless Chronicles",0,0,0,0,0,0,0,0,0,0,0,T
"Animal Force",0,0,0,0,1,0,0,0,0,0,0,E
"Animal Super Squad",0,0,0,0,0,0,0,0,0,0,0,E
Anodyne,0,0,0,0,0,0,0,0,0,0,0,M
"Another Sight",0,0,0,0,1,0,0,0,0,0,0,E
"Another World - 20th Anniversary Edition",0,0,1,0,0,0,0,0,0,0,0,T
Anthem,1,0,0,0,0,0,0,0,0,0,1,T
"Antiquia Lost",0,0,1,0,0,0,0,0,0,0,0,ET
"AO International Tennis",0,0,0,0,0,0,0,0,0,0,0,E
"AO Tennis 2",0,0,0,0,0,0,0,0,0,0,0,E
